CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Current Police Districts,DELETE - Zip Codes,DELETE - Police Districts,DELETE - Neighborhoods,DELETE - Neighborhoods_from_fyvs_ahh9,DELETE - 2017 Fix It Zones,DELETE - SF Find Neighborhoods,Civic Center Harm Reduction Project Boundary,DELETE - Current Supervisor Districts,Fix It Zones as of 2017-11-06 ,Invest In Neighborhoods (IIN) Areas,DELETE - HSOC Zones,Fix It Zones as of 2018-02-07,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,HSOC Zones as of 2018-06-05,OWED Public Spaces,Parks Alliance CPSI (27+TL sites),Neighborhoods
10622276,03/19/2019 04:44:32 PM,,08/28/2020 01:31:06 AM,Open,accepted,DPW BSM Queue,Sidewalk or Curb,Sidewalk_Defect,Collapsed_sidewalk,"361 MISSISSIPPI ST, SAN FRANCISCO, CA, 94107",MISSISSIPPI ST,10,Potrero Hill,BAYVIEW,37.76156,-122.394172,"(37.76156, -122.394172)",Web,,54,2,9,26,8,10,3,28856,3,29,29,,54,,9,,,,,,,1,,,,,54
10704816,04/09/2019 07:08:53 AM,,08/28/2020 01:31:03 AM,Open,accepted,DPW BSM Queue,Sidewalk or Curb,Sidewalk_Defect,Lifted_sidewalk_tree_roots,"1407 GOUGH ST, SAN FRANCISCO, CA, 94109",GOUGH ST,5,Cathedral Hill,NORTHERN,37.786767,-122.425109,"(37.786767, -122.425109)",Mobile/Open311,,100,4,11,15,11,13,6,28858,9,13,13,,100,,11,,,,,,,2,,,,,100
10892486,05/21/2019 04:11:00 PM,08/28/2020 07:46:00 AM,08/28/2020 07:46:00 AM,Closed,"Case Resolved - Loose PG&E vault doors and sunken sidewalk on Carl St frontage near N Judah Stop and Burgermeister -  X1104: 1169791X1104 # 1169868,",DPW BSM Queue,Sidewalk or Curb,Sidewalk_Defect,Lifted_sidewalk_other,Intersection of CARL ST and COLE ST,CARL ST,5,Cole Valley,PARK,37.765800476074,-122.44995880127,"(37.76580048, -122.4499588)",Phone,,29,7,11,3,11,15,8,29492,5,9,9,,29,,11,,,,,,,1,,,,,29
11866528,12/27/2019 12:09:00 PM,01/08/2020 09:30:13 PM,01/08/2020 09:30:13 PM,Closed,Case Resolved - Per process - cases are closed 10 days after assignment.,Clear Channel - Transit Queue,Street and Sidewalk Cleaning,Transit_shelter_platform,Transit_shelter_platform,Intersection of MARKET ST and DRUMM ST,MARKET ST,3,Financial District,CENTRAL,37.793254852295,-122.396301269531,"(37.79325485, -122.39630127)",Phone,,108,6,10,8,9,4,2,28855,2,6,6,,108,,10,,,,,,,1,,,35,,108
10650674,03/26/2019 08:26:28 PM,,07/15/2020 01:25:53 AM,Open,accepted,DPW - Bureau of Street Use and Mapping - G,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,"868 FOLSOM ST, SAN FRANCISCO, CA, 94107",FOLSOM ST,6,South of Market,SOUTHERN,37.780902862549,-122.402801513672,"(37.78090286, -122.40280151)",Integrated Agency,,32,1,10,34,9,6,2,28853,2,34,34,,32,,10,,,,,4,,2,,,,,32
11866505,12/27/2019 12:06:55 PM,05/15/2020 10:23:01 AM,05/15/2020 10:23:01 AM,Closed,Case Resolved - case is resolved,DPT SignShop Queue,Sign Repair,Sign - Faded,Street_Cleaning - Faded; support - OK,"174 NAGLEE AVE, SAN FRANCISCO, CA, 94112",NAGLEE AVE,11,Outer Mission,INGLESIDE,37.712975,-122.447778333333,"(37.712975, -122.44777833)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866505/photos,66,9,1,28,6,9,4,28861,7,25,25,,66,,1,,,,,,,2,,,,,66
11866523,12/27/2019 12:09:00 PM,12/27/2019 12:14:39 PM,12/27/2019 12:14:39 PM,Closed,Comment Noted - The report has been logged and will help the City collect data on double parking and bike lane violations to determine target areas and future enforcement efforts. Thank you.,Parking Enforcement Dispatch Queue,Parking Enforcement,Double_Parking,White - Audi A7 - 8MFW881,"1752 QUESADA AVE, SAN FRANCISCO, CA, 94124",QUESADA AVE,10,Silver Terrace,BAYVIEW,37.73401342,-122.39236687,"(37.73401342, -122.39236687)",Phone,,87,2,9,1,8,10,3,58,3,1,1,,87,,9,,,,,,,2,,,,,87
11866514,12/27/2019 12:08:15 PM,12/27/2019 03:00:48 PM,12/27/2019 03:00:48 PM,Closed,Case Resolved - WASTE NOT FOUND,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"3101 17TH ST, SAN FRANCISCO, CA, 94110",17TH ST,9,Mission,MISSION,37.7636884,-122.4152514,"(37.7636884, -122.4152514)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866514/photos,53,3,2,20,7,8,7,28859,4,19,19,12,53,,2,14,,3,14,,,2,,3,,,53
11866507,12/27/2019 12:07:17 PM,12/27/2019 10:15:58 PM,12/27/2019 10:15:58 PM,Closed,Case is a Duplicate - Request is a duplicate and has been previously reported as 9209121,DPW Ops Queue,Graffiti,Graffiti on Fire_Police_Callbox,Fire_Police_Callbox - Not_Offensive,Intersection of ELLINGTON AVE and NAGLEE AVE,ELLINGTON AVE,11,Outer Mission,INGLESIDE,37.71222,-122.446853333333,"(37.71222, -122.44685333)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866507/photos,66,9,1,28,6,9,4,28861,7,25,25,,66,,1,,,,,,,2,,,,,66
11866502,12/27/2019 12:06:42 PM,01/08/2020 09:30:13 PM,01/08/2020 09:30:13 PM,Closed,Case Resolved - Per process - cases are closed 10 days after assignment.,Clear Channel - Transit Queue,Litter Receptacles,Transit_shelter_platform,,"213 TURK ST, SAN FRANCISCO, CA, 94102",TURK ST,6,Tenderloin,TENDERLOIN,37.782884436881,-122.412623930808,"(37.78288444, -122.41262393)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866502/photos,20,5,10,36,9,7,10,28852,10,36,36,17,20,1,10,18,,1,18,6,1,2,1,1,,,20
